date,value
03/01/1972,306.25
04/01/1972,304.63
05/01/1972,308.38
06/01/1972,309
07/01/1972,309.38
10/01/1972,306.88
11/01/1972,307.63
12/01/1972,303
13/01/1972,302.5
14/01/1972,303.13
17/01/1972,312.13
18/01/1972,309.38
19/01/1972,310.13
20/01/1972,312.13
21/01/1972,315.88
24/01/1972,315
25/01/1972,318.75
26/01/1972,316
27/01/1972,317.75
28/01/1972,312
31/01/1972,314.63
01/02/1972,314.75
02/02/1972,316
03/02/1972,316.75
04/02/1972,317.63
07/02/1972,316.5
08/02/1972,314.38
09/02/1972,314.13
10/02/1972,314.13
11/02/1972,316.13
14/02/1972,317.38
15/02/1972,317
16/02/1972,317
17/02/1972,320.5
18/02/1972,320.88
22/02/1972,319.5
23/02/1972,324.88
24/02/1972,325.5
25/02/1972,327.38
28/02/1972,330.75
29/02/1972,330.5
01/03/1972,329.25
02/03/1972,333.63
03/03/1972,334
06/03/1972,336.5
07/03/1972,335.63
08/03/1972,341.13
09/03/1972,342
10/03/1972,341
13/03/1972,339.75
14/03/1972,334.13
15/03/1972,334.25
16/03/1972,334.38
17/03/1972,340.75
20/03/1972,340.63
21/03/1972,339.5
22/03/1972,342.13
23/03/1972,342.38
24/03/1972,344.5
27/03/1972,344
28/03/1972,344.38
29/03/1972,344.5
30/03/1972,343.63
03/04/1972,342.25
04/04/1972,350.38
05/04/1972,351
06/04/1972,353.63
07/04/1972,353.38
10/04/1972,354.25
11/04/1972,353.75
12/04/1972,358.38
13/04/1972,358.75
14/04/1972,356.63
17/04/1972,357.75
18/04/1972,351
19/04/1972,349.75
20/04/1972,352.38
21/04/1972,352.75
24/04/1972,352.5
25/04/1972,356
26/04/1972,351.13
27/04/1972,343.75
28/04/1972,345.63
01/05/1972,345
02/05/1972,347.5
03/05/1972,346.63
04/05/1972,347.13
05/05/1972,349.5
08/05/1972,350.75
09/05/1972,347.25
10/05/1972,346.38
11/05/1972,348.5
12/05/1972,348.13
15/05/1972,349.63
16/05/1972,356.75
17/05/1972,355.75
18/05/1972,358
19/05/1972,358.75
22/05/1972,355.75
23/05/1972,349
24/05/1972,352.75
25/05/1972,354.13
26/05/1972,352.25
30/05/1972,347.25
31/05/1972,350.13
01/06/1972,351.5
02/06/1972,350.63
05/06/1972,350.38
06/06/1972,352
07/06/1972,355
08/06/1972,353.25
09/06/1972,353
12/06/1972,350.88
13/06/1972,350
14/06/1972,347.75
15/06/1972,346.75
16/06/1972,349.5
19/06/1972,345.63
20/06/1972,343.5
21/06/1972,345
22/06/1972,342.38
23/06/1972,342.5
26/06/1972,341.38
27/06/1972,345
28/06/1972,344.38
29/06/1972,347
30/06/1972,348.38
03/07/1972,355
05/07/1972,358.63
06/07/1972,355.63
07/07/1972,352.63
10/07/1972,350.63
11/07/1972,349.88
12/07/1972,352.75
13/07/1972,347.13
14/07/1972,352
17/07/1972,349.63
18/07/1972,350.88
19/07/1972,350
20/07/1972,350.25
21/07/1972,348.88
24/07/1972,349.25
25/07/1972,347.38
26/07/1972,350
27/07/1972,351.75
28/07/1972,354
31/07/1972,352.63
01/08/1972,356.63
02/08/1972,352
03/08/1972,354.25
04/08/1972,360.5
07/08/1972,361.5
08/08/1972,367
09/08/1972,362.38
10/08/1972,361
11/08/1972,363.75
14/08/1972,363
15/08/1972,357
16/08/1972,357.75
17/08/1972,360.25
18/08/1972,363.63
21/08/1972,361
22/08/1972,362
23/08/1972,344.38
24/08/1972,345.5
25/08/1972,346
28/08/1972,342
29/08/1972,341.38
30/08/1972,340
31/08/1972,344
01/09/1972,346.25
05/09/1972,347.5
06/09/1972,346.25
07/09/1972,345.75
08/09/1972,345.75
11/09/1972,345.38
12/09/1972,346
13/09/1972,339.38
14/09/1972,346.5
15/09/1972,347.25
18/09/1972,345.5
19/09/1972,342.25
20/09/1972,343
21/09/1972,338.63
22/09/1972,337.38
25/09/1972,341.88
26/09/1972,343.5
27/09/1972,342.75
28/09/1972,344.75
29/09/1972,348
02/10/1972,339.25
03/10/1972,341.38
04/10/1972,340.63
05/10/1972,342.88
06/10/1972,338.63
09/10/1972,334.38
10/10/1972,334.88
11/10/1972,336.88
12/10/1972,337.38
13/10/1972,332
16/10/1972,333.75
17/10/1972,334
18/10/1972,336.25
19/10/1972,337
20/10/1972,338
23/10/1972,340.5
24/10/1972,344.25
25/10/1972,343.25
26/10/1972,347.38
27/10/1972,349.5
30/10/1972,357
31/10/1972,354.25
01/11/1972,359
02/11/1972,358.38
03/11/1972,356.63
06/11/1972,351.38
08/11/1972,358.25
09/11/1972,359.88
10/11/1972,356.88
13/11/1972,366.88
14/11/1972,376.88
15/11/1972,381.5
16/11/1972,376
17/11/1972,378
20/11/1972,372
21/11/1972,374.75
22/11/1972,372.25
24/11/1972,379.25
27/11/1972,388
28/11/1972,382.75
29/11/1972,379.5
30/11/1972,379.5
01/12/1972,387
04/12/1972,396.63
05/12/1972,405.5
06/12/1972,401.5
07/12/1972,407.5
08/12/1972,418.13
11/12/1972,425
12/12/1972,435.5
13/12/1972,425.5
14/12/1972,432
15/12/1972,436.5
18/12/1972,425.88
19/12/1972,415.88
20/12/1972,417.5
21/12/1972,427.25
22/12/1972,417.25
26/12/1972,414
27/12/1972,416
29/12/1972,426.25
02/01/1973,427
03/01/1973,431.75
04/01/1973,426.5
05/01/1973,432.25
08/01/1973,424.5
09/01/1973,429.25
10/01/1973,439.5
11/01/1973,434.5
12/01/1973,436.75
15/01/1973,439
16/01/1973,449.5
17/01/1973,459.5
18/01/1973,469.5
19/01/1973,498
22/01/1973,495.5
23/01/1973,474.75
24/01/1973,471.75
26/01/1973,481.63
29/01/1973,491.63
30/01/1973,491.5
31/01/1973,490
01/02/1973,498.75
02/02/1973,508.38
05/02/1973,518.38
06/02/1973,528.38
07/02/1973,538.38
08/02/1973,548.38
09/02/1973,552.5
12/02/1973,563.25
13/02/1973,573.25
14/02/1973,583.25
15/02/1973,593.25
16/02/1973,603.25
20/02/1973,606
21/02/1973,623.5
22/02/1973,638.5
23/02/1973,653.5
26/02/1973,668.5
27/02/1973,654
28/02/1973,638
01/03/1973,661
02/03/1973,662
05/03/1973,661
06/03/1973,681
07/03/1973,688
08/03/1973,680
09/03/1973,684
12/03/1973,668
13/03/1973,631
14/03/1973,623
15/03/1973,656
16/03/1973,632
19/03/1973,601
20/03/1973,603.5
21/03/1973,618
22/03/1973,578
23/03/1973,588.5
26/03/1973,585
27/03/1973,569.75
28/03/1973,554.75
29/03/1973,539.75
30/03/1973,539.5
02/04/1973,553.75
03/04/1973,568.75
04/04/1973,583.75
05/04/1973,598.75
06/04/1973,594
09/04/1973,609.5
10/04/1973,611.5
11/04/1973,617
12/04/1973,632.5
13/04/1973,634
16/04/1973,644.75
17/04/1973,640
18/04/1973,634.25
19/04/1973,645
23/04/1973,654
24/04/1973,653.5
25/04/1973,669
26/04/1973,684
27/04/1973,699
30/04/1973,748.5
01/05/1973,774
02/05/1973,765
03/05/1973,772.5
04/05/1973,773
07/05/1973,806
08/05/1973,848
09/05/1973,900
10/05/1973,910
11/05/1973,865
14/05/1973,900
15/05/1973,907
16/05/1973,883
17/05/1973,833
18/05/1973,912
21/05/1973,960
22/05/1973,878
23/05/1973,898
24/05/1973,918
25/05/1973,938
29/05/1973,978
30/05/1973,"1,018.00"
31/05/1973,"1,058.00"
01/06/1973,"1,130.00"
04/06/1973,"1,210.00"
05/06/1973,"1,180.00"
06/06/1973,"1,015.00"
07/06/1973,970
08/06/1973,"1,019.00"
11/06/1973,"1,155.00"
12/06/1973,"1,148.00"
13/06/1973,"1,100.00"
14/06/1973,"1,010.00"
15/06/1973,"1,050.00"
18/06/1973,"1,130.00"
19/06/1973,"1,136.00"
20/06/1973,"1,135.00"
22/06/1973,"1,151.00"
25/06/1973,"1,156.00"
26/06/1973,"1,086.00"
27/06/1973,"1,085.00"
29/06/1973,"1,000.00"
02/07/1973,950
03/07/1973,870
05/07/1973,790
06/07/1973,710
09/07/1973,696
10/07/1973,740
11/07/1973,750
12/07/1973,787
13/07/1973,867
16/07/1973,947
17/07/1973,"1,027.00"
18/07/1973,"1,027.00"
19/07/1973,"1,107.00"
20/07/1973,"1,187.00"
23/07/1973,"1,060.00"
24/07/1973,"1,100.00"
25/07/1973,"1,140.00"
26/07/1973,"1,100.00"
27/07/1973,"1,060.00"
30/07/1973,"1,020.00"
31/07/1973,"1,035.00"
01/08/1973,"1,000.00"
02/08/1973,960
03/08/1973,950
06/08/1973,985
07/08/1973,955
08/08/1973,950
09/08/1973,985
10/08/1973,"1,025.00"
13/08/1973,"1,065.00"
14/08/1973,"1,075.00"
15/08/1973,"1,035.00"
16/08/1973,995
17/08/1973,955
20/08/1973,915
21/08/1973,875
22/08/1973,835
23/08/1973,740
24/08/1973,780
27/08/1973,740
28/08/1973,700
29/08/1973,740
30/08/1973,745
31/08/1973,720
04/09/1973,691
05/09/1973,651
06/09/1973,660
07/09/1973,700
10/09/1973,683
11/09/1973,663
12/09/1973,640
13/09/1973,630
14/09/1973,635
17/09/1973,642
18/09/1973,615
19/09/1973,575
20/09/1973,636
21/09/1973,638
24/09/1973,659
25/09/1973,679
26/09/1973,660
27/09/1973,643
28/09/1973,644
01/10/1973,634
02/10/1973,614
03/10/1973,626
04/10/1973,605
05/10/1973,598
09/10/1973,616.5
10/10/1973,636.5
11/10/1973,648
12/10/1973,629
15/10/1973,609
16/10/1973,589
17/10/1973,569
18/10/1973,549
19/10/1973,552
22/10/1973,546
23/10/1973,550
24/10/1973,560
25/10/1973,567
26/10/1973,553
29/10/1973,535
30/10/1973,531
31/10/1973,543
01/11/1973,544
02/11/1973,535
05/11/1973,534
06/11/1973,535
07/11/1973,543
08/11/1973,562.5
09/11/1973,545
12/11/1973,556
13/11/1973,558
14/11/1973,549
15/11/1973,547
16/11/1973,562
19/11/1973,566
20/11/1973,568
21/11/1973,609
23/11/1973,629
26/11/1973,609
27/11/1973,589
28/11/1973,608.5
29/11/1973,601
30/11/1973,603
03/12/1973,605
04/12/1973,625.5
05/12/1973,605.5
06/12/1973,625.5
07/12/1973,627
10/12/1973,615
11/12/1973,630
12/12/1973,619
13/12/1973,601
14/12/1973,583
17/12/1973,590
18/12/1973,582
19/12/1973,588
20/12/1973,585.5
21/12/1973,594
26/12/1973,583
27/12/1973,589
28/12/1973,586.5
31/12/1973,579
02/01/1974,588.63
03/01/1974,592
04/01/1974,604
07/01/1974,625.5
08/01/1974,618
09/01/1974,599
10/01/1974,618
11/01/1974,619
14/01/1974,622
15/01/1974,616
16/01/1974,613
17/01/1974,620
18/01/1974,623
21/01/1974,643
22/01/1974,636
23/01/1974,623
24/01/1974,628
25/01/1974,647.5
28/01/1974,635
29/01/1974,627
30/01/1974,633
31/01/1974,643.5
01/02/1974,648.5
04/02/1974,639
05/02/1974,634.5
06/02/1974,628.5
07/02/1974,635
08/02/1974,646
11/02/1974,655
13/02/1974,637
14/02/1974,642
15/02/1974,648.5
19/02/1974,651
20/02/1974,656
21/02/1974,649
22/02/1974,652
25/02/1974,671.5
26/02/1974,651.25
27/02/1974,631.5
28/02/1974,617.5
01/03/1974,637.75
04/03/1974,632
05/03/1974,615.5
06/03/1974,630
07/03/1974,636
08/03/1974,622
11/03/1974,628
12/03/1974,633
13/03/1974,643.5
14/03/1974,632.5
15/03/1974,626.5
18/03/1974,638
19/03/1974,641
20/03/1974,634
21/03/1974,641
