date,value
1974-01-06,272.5
1974-01-13,282.0
1974-01-20,289.1
1974-01-27,287.65
1974-02-03,299.0
1974-02-10,299.2
1974-02-17,307.5
1974-02-24,322.9375
1974-03-03,328.35
1974-03-10,306.65
1974-03-17,294.4
1974-03-24,300.1
1974-03-31,284.2
1974-04-07,260.4
1974-04-14,260.4375
1974-04-21,263.75
1974-04-28,273.6
1974-05-05,270.9
1974-05-12,255.4
1974-05-19,270.5
1974-05-26,262.15
1974-06-02,266.625
1974-06-09,270.4
1974-06-16,277.35
1974-06-23,286.7
1974-06-30,298.8
1974-07-07,305.8125
1974-07-14,313.05
1974-07-21,333.95
1974-07-28,344.65
1974-08-04,369.75
1974-08-11,359.4
1974-08-18,357.5
1974-08-25,359.95
1974-09-01,350.85
1974-09-08,332.25
1974-09-15,349.5
1974-09-22,337.2
1974-09-29,363.2
1974-10-06,388.0
1974-10-13,380.0
1974-10-20,384.3
1974-10-27,375.3
1974-11-03,373.45
1974-11-10,378.625
1974-11-17,372.1
1974-11-24,350.3
1974-12-01,356.625
1974-12-08,363.7
1974-12-15,357.15
1974-12-22,350.9
1974-12-29,340.5
1975-01-05,342.6875
1975-01-12,341.75
1975-01-19,333.45
1975-01-26,311.0
1975-02-02,314.0
1975-02-09,311.6
1975-02-16,310.35
1975-02-23,289.875
1975-03-02,269.3
1975-03-09,271.35
1975-03-16,286.5
1975-03-23,288.0
1975-03-30,294.125
1975-04-06,298.8
1975-04-13,291.45
1975-04-20,281.5
1975-04-27,285.4
1975-05-04,284.7
1975-05-11,273.35
1975-05-18,277.7
1975-05-25,276.8
1975-06-01,268.3125
1975-06-08,273.1
1975-06-15,277.5
1975-06-22,285.35
1975-06-29,284.0
1975-07-06,275.6875
1975-07-13,283.95
1975-07-20,295.05
1975-07-27,285.4
1975-08-03,291.45
1975-08-10,304.7
1975-08-17,316.0
1975-08-24,320.2
1975-08-31,310.75
1975-09-07,301.125
1975-09-14,300.65
1975-09-21,316.05
1975-09-28,304.2
1975-10-05,301.6
1975-10-12,299.3
1975-10-19,293.75
1975-10-26,285.3
1975-11-02,277.4
1975-11-09,274.8
1975-11-16,266.3
1975-11-23,262.45
1975-11-30,272.6875
1975-12-07,269.5
1975-12-14,259.6
1975-12-21,256.55
1975-12-28,264.4166666666667
1976-01-04,260.75
1976-01-11,266.6
1976-01-18,270.0
1976-01-25,271.25
1976-02-01,262.85
1976-02-08,267.0
1976-02-15,268.8
1976-02-22,269.375
1976-02-29,269.5
1976-03-07,269.6
1976-03-14,268.8
1976-03-21,265.3
1976-03-28,268.8
1976-04-04,265.8
1976-04-11,267.15
1976-04-18,265.3125
1976-04-25,267.05
1976-05-02,269.2
1976-05-09,274.2
1976-05-16,284.65
1976-05-23,286.8
1976-05-30,291.25
1976-06-06,293.8125
1976-06-13,304.6
1976-06-20,294.25
1976-06-27,300.15
1976-07-04,294.5
1976-07-11,303.3125
1976-07-18,305.0
1976-07-25,291.2
1976-08-01,280.45
1976-08-08,277.9
1976-08-15,275.2
1976-08-22,278.35
1976-08-29,282.2
1976-09-05,285.7
1976-09-12,298.6875
1976-09-19,291.6
1976-09-26,278.35
1976-10-03,268.0
1976-10-10,271.55
1976-10-17,267.3
1976-10-24,264.45
1976-10-31,257.45
1976-11-07,252.0
1976-11-14,241.45
1976-11-21,237.2
1976-11-28,243.25
1976-12-05,239.75
1976-12-12,245.8
1976-12-19,242.8
1976-12-26,247.8125
1977-01-02,256.0625
1977-01-09,258.8
1977-01-16,263.05
1977-01-23,260.05
1977-01-30,256.95
1977-02-06,253.1
1977-02-13,256.05
1977-02-20,256.6
1977-02-27,257.125
1977-03-06,253.75
1977-03-13,254.6
1977-03-20,253.7
1977-03-27,257.55
1977-04-03,254.0
1977-04-10,250.75
1977-04-17,256.0
1977-04-24,256.0
1977-05-01,247.5
1977-05-08,244.625
1977-05-15,240.2
1977-05-22,240.6
1977-05-29,245.15
1977-06-05,249.375
1977-06-12,243.75
1977-06-19,231.85
1977-06-26,226.1
1977-07-03,223.85
1977-07-10,221.6875
1977-07-17,212.65
1977-07-24,209.05
1977-07-31,202.15
1977-08-07,197.15
1977-08-14,195.1
1977-08-21,185.85
1977-08-28,183.05
1977-09-04,183.5
1977-09-11,191.0625
1977-09-18,193.4
1977-09-25,199.7
1977-10-02,202.3
1977-10-09,209.9
1977-10-16,207.15
1977-10-23,206.15
1977-10-30,209.75
1977-11-06,217.85
1977-11-13,220.65
1977-11-20,223.95
1977-11-27,222.75
1977-12-04,221.25
1977-12-11,217.8
1977-12-18,215.15
1977-12-25,223.3
1978-01-01,224.6875
1978-01-08,222.5625
1978-01-15,224.05
1978-01-22,222.65
1978-01-29,226.4
1978-02-05,226.5
1978-02-12,226.35
1978-02-19,226.35
1978-02-26,226.625
1978-03-05,226.35
1978-03-12,231.9
1978-03-19,241.05
1978-03-26,246.5
1978-04-02,254.3
1978-04-09,258.45
1978-04-16,261.65
1978-04-23,257.9
1978-04-30,248.4
1978-05-07,249.45
1978-05-14,254.1
1978-05-21,262.75
1978-05-28,263.15
1978-06-04,266.5
1978-06-11,259.85
1978-06-18,255.65
1978-06-25,258.1
1978-07-02,250.2
1978-07-09,245.625
1978-07-16,236.3
1978-07-23,227.15
1978-07-30,228.65
1978-08-06,222.65
1978-08-13,216.35
1978-08-20,220.2
1978-08-27,222.85
1978-09-03,215.4
1978-09-10,212.4375
1978-09-17,213.3
1978-09-24,215.2
1978-10-01,223.3
1978-10-08,228.4
1978-10-15,230.7
1978-10-22,228.45
1978-10-29,233.25
1978-11-05,234.15
1978-11-12,230.0625
1978-11-19,227.7
1978-11-26,228.125
1978-12-03,226.0
1978-12-10,224.2
1978-12-17,219.5
1978-12-24,226.7
1978-12-31,231.875
1979-01-07,229.5
1979-01-14,230.25
1979-01-21,231.65
1979-01-28,234.0
1979-02-04,234.0
1979-02-11,235.9
1979-02-18,236.65
1979-02-25,238.5
1979-03-04,236.3
1979-03-11,238.5
1979-03-18,238.15
